sym,setup,session,time,dir,entry,sl,tp,risk,outcome,gross_r,managed_r,fill_idx,exit_idx
US30,judas,ny_am,2023-07-14 16:30:00,SELL,34601.3,34630.76928571429,34542.36142857143,29.469285714287253,TP,2.0,0.0,3913,3921
US30,judas,ny_am,2023-09-28 15:45:00,SELL,33589.3,33673.59142857143,33420.717142857146,84.2914285714287,FLAT,-0.42886922920473,0.0,18540,18557
US30,judas,ny_am,2023-10-31 16:10:00,BUY,32870.45,32784.53785714285,33042.27428571429,85.91214285714523,FLAT,1.012662437539984,1.012662437539984,24802,24818
US30,judas,ny_am,2024-02-14 16:35:00,SELL,38381.0,38446.2,38250.600000000006,65.19999999999709,FLAT,1.0736196319018885,1.0736196319018885,44748,44756
US30,judas,ny_am,2024-03-08 15:35:00,BUY,38744.9,38609.72571428571,39015.24857142858,135.174285714289,FLAT,1.3797002811185224,1.44954730189593,49309,49327
US30,judas,ny_am,2024-05-16 16:25:00,BUY,39919.3,39889.75714285715,39978.385714285716,29.54285714285652,TP,2.0,1.9188134429400363,62349,62355
US30,judas,ny_am,2024-10-28 16:00:00,SELL,42457.45,42530.33642857143,42311.67714285714,72.88642857142986,SL,-1.0,-1.0,93913,93919
US30,judas,ny_am,2024-11-29 16:00:00,BUY,44884.3,44851.97142857143,44948.95714285715,32.32857142857392,SL,-1.0,-1.0,100332,100332
US30,judas,ny_am,2024-12-16 16:15:00,SELL,44032.3,44064.12142857143,43968.65714285715,31.821428571427532,SL,-1.0,0.0,103289,103290
US30,judas,ny_am,2025-05-15 16:20:00,SELL,41881.3,41981.891428571435,41680.11714285714,100.5914285714316,SL,-1.0,-1.0,131608,131614
US30,judas,ny_am,2025-12-01 16:35:00,BUY,47507.45,47434.470714285715,47653.40857142856,72.97928571428201,SL,-1.0,-1.0,170170,170172
US30,judas,ny_am,2025-12-02 16:25:00,SELL,47481.7,47505.275714285715,47434.54857142856,23.575714285718277,SL,-1.0,-1.0,170436,170436
US100,judas,ny_am,2023-08-15 16:05:00,BUY,15140.55,15094.061428571427,15233.527142857143,46.48857142857196,SL,-1.0,-1.0,3180,3184
US100,judas,ny_am,2023-09-22 16:30:00,SELL,14774.65,14808.139285714286,14707.671428571428,33.48928571428587,SL,-1.0,0.9055999999999969,10749,10758
