sym,setup,session,time,dir,entry,sl,tp,risk,outcome,gross_r,managed_r,fill_idx,exit_idx
US30,reprise,ny_am,2023-07-21 15:50:00,BUY,35324.3,35310.28571428572,35352.328571428574,14.014285714285506,SL,-1.0,0.9056000000000091,5267,5268
US30,reprise,ny_am,2023-08-24 16:35:00,BUY,34449.45,34418.64785714286,34511.05428571427,30.80214285713737,SL,-1.0,1.4235999999999933,11802,11805
US30,reprise,ny_am,2023-08-30 16:05:00,BUY,34903.3,34876.33571428572,34957.228571428575,26.964285714282596,TP,2.0,0.0,12873,12876
US30,reprise,ny_am,2023-09-06 16:35:00,SELL,34570.45,34635.17642857143,34440.99714285713,64.72642857143364,FLAT,1.297769734155741,0.0,14192,14207
US30,reprise,ny_am,2023-09-11 16:00:00,BUY,34700.3,34679.385714285716,34742.12857142858,20.91428571428696,SL,-1.0,1.4236000000000733,15008,15009
US30,reprise,ny_am,2023-09-13 16:30:00,BUY,34698.8,34641.685000000005,34813.030000000006,57.11499999999796,SL,-1.0,0.0,15551,15558
US30,reprise,ny_am,2023-10-12 15:35:00,SELL,33903.3,33977.885714285716,33754.12857142858,74.58571428571304,TP,2.0,1.4737361425014723,21249,21262
US30,reprise,ny_am,2023-11-08 16:50:00,BUY,34252.45,34227.354999999996,34302.64,25.095000000001164,SL,-1.0,-1.0,26426,26427
US30,reprise,ny_am,2023-11-15 16:30:00,BUY,34937.3,34895.36928571429,35021.16142857143,41.9307142857142,TP,2.0,0.0,27782,27791
US30,reprise,ny_am,2023-12-11 16:30:00,BUY,36338.0,36286.97142857143,36440.05714285714,51.02857142857101,FLAT,1.234602463605833,0.9056000000000057,32591,32606
US30,reprise,ny_am,2023-12-29 16:35:00,BUY,37797.0,37769.54285714286,37851.91428571429,27.45714285714348,SL,-1.0,-1.0,36092,36095
US30,reprise,ny_am,2024-01-04 16:25:00,SELL,37560.0,37593.95714285714,37492.08571428571,33.95714285714348,SL,-1.0,-1.0,36903,36903
US30,reprise,ny_am,2024-01-16 15:45:00,SELL,37559.0,37589.52857142857,37497.94285714286,30.528571428571013,SL,-1.0,-1.0,39030,39030
US30,reprise,ny_am,2024-01-17 15:45:00,SELL,37233.0,37265.02857142857,37168.94285714286,32.02857142857101,SL,-1.0,0.0,39300,39303
US30,reprise,ny_am,2024-01-22 15:55:00,BUY,38006.0,37982.22857142857,38053.54285714286,23.771428571431898,SL,-1.0,-1.0,40116,40116
US30,reprise,ny_am,2024-01-24 16:45:00,SELL,38072.0,38122.328571428574,37971.34285714286,50.32857142857392,FLAT,0.615952313369257,0.0,40676,40679
US30,reprise,ny_am,2024-01-29 16:30:00,BUY,38143.0,38120.04285714286,38188.91428571429,22.95714285714348,SL,-1.0,0.0,41486,41492
US30,reprise,ny_am,2024-02-02 15:35:00,SELL,38491.0,38595.05714285714,38282.885714285716,104.05714285714203,FLAT,-0.28830313014827247,0.9055999999999997,42557,42584
US30,reprise,ny_am,2024-02-07 16:25:00,BUY,38649.0,38630.42857142857,38686.142857142855,18.571428571427532,SL,-1.0,-1.0,43382,43382
US30,reprise,ny_am,2024-02-15 15:35:00,BUY,38490.0,38461.27142857143,38547.45714285714,28.728571428568102,SL,-1.0,0.9055999999999562,45003,45008
US30,reprise,ny_am,2024-02-28 16:25:00,SELL,38838.3,38865.17857142857,38784.54285714286,26.878571428569558,SL,-1.0,-1.0,47413,47417
US30,reprise,ny_am,2024-03-05 17:05:00,BUY,38816.45,38767.68571428571,38913.97857142857,48.764285714285506,SL,-1.0,0.0,48499,48506
US30,reprise,ny_am,2024-03-13 15:30:00,BUY,39119.45,39095.17214285715,39168.0057142857,24.277857142849825,SL,-1.0,-1.0,50124,50124
US30,reprise,ny_am,2024-04-23 15:30:00,BUY,38334.3,38291.71571428572,38419.46857142857,42.584285714285215,TP,2.0,1.4235999999999733,57724,57727
US30,reprise,ny_am,2024-05-10 16:40:00,BUY,39558.45,39505.095714285715,39665.158571428554,53.354285714282014,SL,-1.0,-1.0,61265,61277
