period,window,path,cost_mult,parents,baseline_fills,confirmation_fills,shared_fills,added_fills,lost_fills,added_net_r,lost_baseline_net_r,shared_net_r_change,total_net_r_change,mean_risk_ratio,confirmation_mean_parent_r,confirmation_total_parent_r,midpoint_mean_parent_r,midpoint_total_parent_r
early,baseline,OHLC,1.0,241,109,53,53,0,56,0.0,-19.260327683601325,-19.334251892085316,-0.07392420848398906,1.4407536688934526,0.06256832262718898,3.3161210992410157,0.02777922023586944,3.027935005709769
early,baseline,OHLC,1.5,241,107,52,52,0,55,0.0,-20.932085864450542,-17.421767921207167,3.5103179432433764,1.428780152951075,0.025170518525235004,1.3088669633122203,-0.017858682431748412,-1.91087902019708
early,baseline,OLHC,1.0,241,109,53,53,0,56,0.0,-19.260327683601325,-19.334251892085316,-0.07392420848398906,1.4407536688934526,0.06256832262718898,3.3161210992410157,0.02777922023586944,3.027935005709769
early,baseline,OLHC,1.5,241,107,52,52,0,55,0.0,-20.932085864450542,-17.421767921207167,3.5103179432433764,1.428780152951075,0.025170518525235004,1.3088669633122203,-0.017858682431748412,-1.91087902019708
early,open_window,OHLC,1.0,311,148,69,69,0,79,0.0,-29.16325247662064,-31.234595676071365,-2.0713431994507263,1.4658093835742716,0.03193087683119775,2.2032305013526448,0.021930698447941675,3.2457433702953677
early,open_window,OHLC,1.5,311,146,67,67,0,79,0.0,-32.74593098191976,-29.253177728701992,3.492753253217775,1.4645963815899767,0.01320976867571164,0.8850545012726798,-0.01932408847652674,-2.8213169175729043
early,open_window,OLHC,1.0,311,148,69,69,0,79,0.0,-29.16325247662064,-31.234595676071365,-2.0713431994507263,1.4658093835742716,0.03193087683119775,2.2032305013526448,0.021930698447941675,3.2457433702953677
early,open_window,OLHC,1.5,311,146,67,67,0,79,0.0,-32.74593098191976,-29.253177728701992,3.492753253217775,1.4645963815899767,0.01320976867571164,0.8850545012726798,-0.01932408847652674,-2.8213169175729043
extension,baseline,OHLC,1.0,22,12,5,5,0,7,0.0,-5.632552433795165,-1.1543663450617077,4.478186088733457,1.349914280834786,-0.12591233102137267,-0.6295616551068633,-0.4136648920126713,-4.963978704152056
extension,baseline,OHLC,1.5,22,12,5,5,0,7,0.0,-5.728994995240448,-1.1484184285384873,4.5805765667019624,1.360427374921683,-0.14766372918208837,-0.7383186459104418,-0.4263843988305361,-5.116612785966433
extension,baseline,OLHC,1.0,22,12,5,5,0,7,0.0,-5.632552433795165,-1.1543663450617077,4.478186088733457,1.349914280834786,-0.12591233102137267,-0.6295616551068633,-0.4136648920126713,-4.963978704152056
extension,baseline,OLHC,1.5,22,12,5,5,0,7,0.0,-5.728994995240448,-1.1484184285384873,4.5805765667019624,1.360427374921683,-0.14766372918208837,-0.7383186459104418,-0.4263843988305361,-5.116612785966433
extension,open_window,OHLC,1.0,30,17,6,6,0,11,0.0,-9.88117677876235,-3.6114984783663413,6.2696783003960075,1.5070454674156013,-0.2907714680710615,-1.744628808426369,-0.42598976908692177,-7.24182607447767
extension,open_window,OHLC,1.5,30,17,6,6,0,11,0.0,-10.101931512691227,-3.6018888235946154,6.500042689096612,1.5192853107449718,-0.31481181690848287,-1.888870901450897,-0.4431402259679326,-7.533383841454855
extension,open_window,OLHC,1.0,30,17,6,6,0,11,0.0,-9.88117677876235,-3.6114984783663413,6.2696783003960075,1.5070454674156013,-0.2907714680710615,-1.744628808426369,-0.42598976908692177,-7.24182607447767
extension,open_window,OLHC,1.5,30,17,6,6,0,11,0.0,-10.101931512691227,-3.6018888235946154,6.500042689096612,1.5192853107449718,-0.31481181690848287,-1.888870901450897,-0.4431402259679326,-7.533383841454855
late,baseline,OHLC,1.0,204,105,61,61,0,44,0.0,-16.00222624981387,-32.889318583397454,-16.887092333583585,1.4760769372456988,0.0014200839369585517,0.08662512015447166,0.16744764287620695,17.58200250200173
late,baseline,OHLC,1.5,204,103,59,59,0,44,0.0,-16.254699726024697,-32.22792848980079,-15.973228763776088,1.4878384277118477,-0.03362116246206125,-1.9836485852616141,0.1471967793483405,15.161268272879072
late,baseline,OLHC,1.0,204,105,61,61,0,44,0.0,-16.00222624981387,-32.889318583397454,-16.887092333583585,1.4760769372456988,0.0014200839369585517,0.08662512015447166,0.16744764287620695,17.58200250200173
late,baseline,OLHC,1.5,204,103,59,59,0,44,0.0,-16.254699726024697,-32.22792848980079,-15.973228763776088,1.4878384277118477,-0.03362116246206125,-1.9836485852616141,0.1471967793483405,15.161268272879072
late,open_window,OHLC,1.0,271,141,80,80,0,61,0.0,-20.465498028105205,-42.14616081591979,-21.680662787814587,1.4933528646137426,0.049132094829942075,3.930567586395366,0.17380802943694093,24.506932150608673
late,open_window,OHLC,1.5,271,139,77,77,0,62,0.0,-21.71336847411613,-41.697740171522035,-19.9843716974059,1.5098810259179776,0.020066162364780305,1.5450945020880835,0.15207765882902882,21.138794577235007
late,open_window,OLHC,1.0,271,141,80,80,0,61,0.0,-20.465498028105205,-42.14616081591979,-21.680662787814587,1.4933528646137426,0.049132094829942075,3.930567586395366,0.17380802943694093,24.506932150608673
late,open_window,OLHC,1.5,271,139,77,77,0,62,0.0,-21.71336847411613,-41.697740171522035,-19.9843716974059,1.5098810259179776,0.020066162364780305,1.5450945020880835,0.15207765882902882,21.138794577235007
