period,window,path,cost_mult,entry_mode,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,no_confirmation,invalidated,entry_invalid,entry_cost,mean_net_r,pf,win_rate
early,baseline,OHLC,1.0,confirmation,241,241,53,0,0,0,0,37,2.9540107972257785,21.43940028408737,18.485389486861592,27,171,17,0,0,0.05573605277784488,1.1598024644990752,0.5094339622641509
early,baseline,OHLC,1.0,midpoint,241,241,109,0,132,0,0,57,3.0279350057097685,51.46836847343114,48.44043346772137,47,0,0,0,0,0.027779220235869435,1.0625084209398634,0.43119266055045874
early,baseline,OHLC,1.5,confirmation,241,241,52,0,0,0,0,36,1.5994389230462964,20.66664945539176,19.067210532345463,26,172,17,0,0,0.030758440827813392,1.0838842640528368,0.5
early,baseline,OHLC,1.5,midpoint,241,241,107,0,134,0,0,56,-1.9108790201970787,48.117421847095166,50.028300867292245,44,0,0,0,0,-0.017858682431748398,0.9618040391724281,0.411214953271028
early,baseline,OLHC,1.0,confirmation,241,241,53,0,0,0,0,37,2.9540107972257785,21.43940028408737,18.485389486861592,27,171,17,0,0,0.05573605277784488,1.1598024644990752,0.5094339622641509
early,baseline,OLHC,1.0,midpoint,241,241,109,0,132,0,0,57,3.0279350057097685,51.46836847343114,48.44043346772137,47,0,0,0,0,0.027779220235869435,1.0625084209398634,0.43119266055045874
early,baseline,OLHC,1.5,confirmation,241,241,52,0,0,0,0,36,1.5994389230462964,20.66664945539176,19.067210532345463,26,172,17,0,0,0.030758440827813392,1.0838842640528368,0.5
early,baseline,OLHC,1.5,midpoint,241,241,107,0,134,0,0,56,-1.9108790201970787,48.117421847095166,50.028300867292245,44,0,0,0,0,-0.017858682431748398,0.9618040391724281,0.411214953271028
early,open_window,OHLC,1.0,confirmation,311,311,69,0,0,0,0,46,1.1744001708446405,26.483944998233277,25.309544827388635,35,215,27,0,0,0.017020292331081748,1.0464014733909308,0.5072463768115942
early,open_window,OHLC,1.0,midpoint,311,311,148,0,163,0,0,64,3.2457433702953686,75.71125640707858,72.46551303678321,62,0,0,0,0,0.02193069844794168,1.0447901799666808,0.4189189189189189
early,open_window,OHLC,1.5,confirmation,311,311,67,0,0,0,0,45,0.6714363356448732,25.63011345272931,24.95867711708444,34,216,27,0,1,0.010021437845445867,1.0269019200214449,0.5074626865671642
early,open_window,OHLC,1.5,midpoint,311,311,146,0,165,0,0,63,-2.821316917572901,71.99392311953677,74.81524003710967,59,0,0,0,0,-0.01932408847652672,0.9622895426630527,0.4041095890410959
early,open_window,OLHC,1.0,confirmation,311,311,69,0,0,0,0,46,1.1744001708446405,26.483944998233277,25.309544827388635,35,215,27,0,0,0.017020292331081748,1.0464014733909308,0.5072463768115942
early,open_window,OLHC,1.0,midpoint,311,311,148,0,163,0,0,64,3.2457433702953686,75.71125640707858,72.46551303678321,62,0,0,0,0,0.02193069844794168,1.0447901799666808,0.4189189189189189
early,open_window,OLHC,1.5,confirmation,311,311,67,0,0,0,0,45,0.6714363356448732,25.63011345272931,24.95867711708444,34,216,27,0,1,0.010021437845445867,1.0269019200214449,0.5074626865671642
early,open_window,OLHC,1.5,midpoint,311,311,146,0,165,0,0,63,-2.821316917572901,71.99392311953677,74.81524003710967,59,0,0,0,0,-0.01932408847652672,0.9622895426630527,0.4041095890410959
extension,baseline,OHLC,1.0,confirmation,22,22,5,0,0,0,0,4,-0.48579261541859897,1.019592579917773,1.505385195336372,3,15,2,0,0,-0.09715852308371979,0.6772968028890103,0.6
extension,baseline,OHLC,1.0,midpoint,22,22,12,0,10,0,0,5,-4.963978704152055,2.7988913226155705,7.762870026767626,4,0,0,0,0,-0.41366489201267126,0.3605485230287951,0.3333333333333333
extension,baseline,OHLC,1.5,confirmation,22,22,5,0,0,0,0,4,-0.5360362192644706,0.9891857284665747,1.5252219477310454,3,15,2,0,0,-0.10720724385289412,0.6485519893928289,0.6
extension,baseline,OHLC,1.5,midpoint,22,22,12,0,10,0,0,5,-5.116612785966432,2.7624757349846676,7.8790885209511,4,0,0,0,0,-0.426384398830536,0.35060854153866056,0.3333333333333333
extension,baseline,OLHC,1.0,confirmation,22,22,5,0,0,0,0,4,-0.48579261541859897,1.019592579917773,1.505385195336372,3,15,2,0,0,-0.09715852308371979,0.6772968028890103,0.6
extension,baseline,OLHC,1.0,midpoint,22,22,12,0,10,0,0,5,-4.963978704152055,2.7988913226155705,7.762870026767626,4,0,0,0,0,-0.41366489201267126,0.3605485230287951,0.3333333333333333
extension,baseline,OLHC,1.5,confirmation,22,22,5,0,0,0,0,4,-0.5360362192644706,0.9891857284665747,1.5252219477310454,3,15,2,0,0,-0.10720724385289412,0.6485519893928289,0.6
extension,baseline,OLHC,1.5,midpoint,22,22,12,0,10,0,0,5,-5.116612785966432,2.7624757349846676,7.8790885209511,4,0,0,0,0,-0.426384398830536,0.35060854153866056,0.3333333333333333
extension,open_window,OHLC,1.0,confirmation,30,30,6,0,0,0,0,5,-0.9721477740816625,1.019592579917773,1.9917403539994356,3,19,5,0,0,-0.16202462901361042,0.5119103892585297,0.5
extension,open_window,OHLC,1.0,midpoint,30,30,17,0,13,0,0,5,-7.24182607447767,4.769668297257141,12.01149437173481,5,0,0,0,0,-0.42598976908692177,0.3970919978517429,0.29411764705882354
extension,open_window,OHLC,1.5,confirmation,30,30,6,0,0,0,0,5,-1.033341152358243,0.9891857284665747,2.0225268808248176,3,19,5,0,0,-0.1722235253930405,0.4890840946762446,0.5
extension,open_window,OHLC,1.5,midpoint,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,0,0,0,0,-0.4431402259679326,0.3851315339429399,0.29411764705882354
extension,open_window,OLHC,1.0,confirmation,30,30,6,0,0,0,0,5,-0.9721477740816625,1.019592579917773,1.9917403539994356,3,19,5,0,0,-0.16202462901361042,0.5119103892585297,0.5
