period,window,path,cost_mult,control,parents,control_fills,retest_fills,shared_fills,added_fills,lost_fills,added_net_r,lost_control_net_r,shared_net_r_change,total_net_r_change,control_total_parent_r,retest_total_parent_r,control_mean_parent_r,retest_mean_parent_r
early,baseline,OHLC,1.0,midpoint,241,109,26,26,0,83,0.0,0.45224090121533433,-0.4290089718682699,-0.881249873083604,3.027935005709768,2.146685132626164,0.027779220235869432,0.082564812793314
early,baseline,OHLC,1.0,confirmation,241,53,26,26,0,27,0.0,5.322362393823225,4.5150367292236115,-0.807325664599615,3.3161210992410157,2.146685132626164,0.06256832262718898,0.082564812793314
early,baseline,OHLC,1.5,midpoint,241,107,19,19,0,88,0.0,-6.629777073030947,0.3290826190318059,6.958859692062753,-1.91087902019708,5.047980671865673,-0.017858682431748412,0.2656831932560881
early,baseline,OHLC,1.5,confirmation,241,52,19,19,0,33,0.0,0.3332600322242396,3.781801781043619,3.448541748819377,1.3088669633122203,5.047980671865673,0.025170518525235004,0.2656831932560881
early,baseline,OLHC,1.0,midpoint,241,109,26,26,0,83,0.0,0.45224090121533433,-0.4290089718682699,-0.881249873083604,3.027935005709768,2.146685132626164,0.027779220235869432,0.082564812793314
early,baseline,OLHC,1.0,confirmation,241,53,26,26,0,27,0.0,5.322362393823225,4.5150367292236115,-0.807325664599615,3.3161210992410157,2.146685132626164,0.06256832262718898,0.082564812793314
early,baseline,OLHC,1.5,midpoint,241,107,19,19,0,88,0.0,-6.629777073030947,0.3290826190318059,6.958859692062753,-1.91087902019708,5.047980671865673,-0.017858682431748412,0.2656831932560881
early,baseline,OLHC,1.5,confirmation,241,52,19,19,0,33,0.0,0.3332600322242396,3.781801781043619,3.448541748819377,1.3088669633122203,5.047980671865673,0.025170518525235004,0.2656831932560881
early,open_window,OHLC,1.0,midpoint,311,148,33,33,0,115,0.0,2.494927626501473,-0.8097446986259473,-3.30467232512742,3.2457433702953677,-0.05892895483205218,0.021930698447941675,-0.0017857259040015812
early,open_window,OHLC,1.0,confirmation,311,69,33,33,0,36,0.0,9.342557457266333,8.109228331589643,-1.2333291256766936,2.2032305013526448,-0.05892895483205218,0.03193087683119775,-0.0017857259040015812
early,open_window,OHLC,1.5,midpoint,311,146,22,22,0,124,0.0,-6.982045198578601,-0.05165310772586551,6.930392090852738,-2.8213169175729043,4.109075173279834,-0.01932408847652674,0.18677614423999245
early,open_window,OHLC,1.5,confirmation,311,67,22,22,0,45,0.0,1.8429901727048659,5.280629010339828,3.437638837634963,0.8850545012726798,4.109075173279834,0.01320976867571164,0.18677614423999245
early,open_window,OLHC,1.0,midpoint,311,148,33,33,0,115,0.0,2.494927626501473,-0.8097446986259473,-3.30467232512742,3.2457433702953677,-0.05892895483205218,0.021930698447941675,-0.0017857259040015812
early,open_window,OLHC,1.0,confirmation,311,69,33,33,0,36,0.0,9.342557457266333,8.109228331589643,-1.2333291256766936,2.2032305013526448,-0.05892895483205218,0.03193087683119775,-0.0017857259040015812
early,open_window,OLHC,1.5,midpoint,311,146,22,22,0,124,0.0,-6.982045198578601,-0.05165310772586551,6.930392090852738,-2.8213169175729043,4.109075173279834,-0.01932408847652674,0.18677614423999245
early,open_window,OLHC,1.5,confirmation,311,67,22,22,0,45,0.0,1.8429901727048659,5.280629010339828,3.437638837634963,0.8850545012726798,4.109075173279834,0.01320976867571164,0.18677614423999245
extension,baseline,OHLC,1.0,midpoint,22,12,3,3,0,9,0.0,-4.60062175660511,0.10154988566218814,4.702171642267299,-4.963978704152056,-0.26180706188475716,-0.4136648920126713,-0.08726902062825238
extension,baseline,OHLC,1.0,confirmation,22,5,3,3,0,2,0.0,0.2424076427908086,0.46639319632465026,0.2239855535338417,-0.6295616551068633,-0.26180706188475716,-0.12591233102137267,-0.08726902062825238
extension,baseline,OHLC,1.5,midpoint,22,12,3,3,0,9,0.0,-4.7192171359702755,0.10154988566218748,4.820767021632464,-5.116612785966433,-0.29584576433396925,-0.4263843988305361,-0.09861525477798976
extension,baseline,OHLC,1.5,confirmation,22,5,3,3,0,2,0.0,0.2263620567989426,0.466552511729444,0.24019045493050128,-0.7383186459104418,-0.29584576433396925,-0.14766372918208837,-0.09861525477798976
extension,baseline,OLHC,1.0,midpoint,22,12,3,3,0,9,0.0,-4.60062175660511,0.10154988566218814,4.702171642267299,-4.963978704152056,-0.26180706188475716,-0.4136648920126713,-0.08726902062825238
extension,baseline,OLHC,1.0,confirmation,22,5,3,3,0,2,0.0,0.2424076427908086,0.46639319632465026,0.2239855535338417,-0.6295616551068633,-0.26180706188475716,-0.12591233102137267,-0.08726902062825238
extension,baseline,OLHC,1.5,midpoint,22,12,3,3,0,9,0.0,-4.7192171359702755,0.10154988566218748,4.820767021632464,-5.116612785966433,-0.29584576433396925,-0.4263843988305361,-0.09861525477798976
extension,baseline,OLHC,1.5,confirmation,22,5,3,3,0,2,0.0,0.2263620567989426,0.466552511729444,0.24019045493050128,-0.7383186459104418,-0.29584576433396925,-0.14766372918208837,-0.09861525477798976
extension,open_window,OHLC,1.0,midpoint,30,17,3,3,0,14,0.0,-6.8784691269307245,0.10154988566218814,6.980019012592913,-7.24182607447767,-0.26180706188475716,-0.42598976908692177,-0.08726902062825238
extension,open_window,OHLC,1.0,confirmation,30,6,3,3,0,3,0.0,-0.24394751587225488,0.46639319632465026,0.7103407121969052,-1.744628808426369,-0.26180706188475716,-0.2907714680710615,-0.08726902062825238
extension,open_window,OHLC,1.5,midpoint,30,17,3,3,0,14,0.0,-7.135988191458697,0.10154988566218748,7.2375380771208855,-7.533383841454855,-0.29584576433396925,-0.4431402259679326,-0.09861525477798976
extension,open_window,OHLC,1.5,confirmation,30,6,3,3,0,3,0.0,-0.27094287629482966,0.466552511729444,0.7374953880242735,-1.888870901450897,-0.29584576433396925,-0.31481181690848287,-0.09861525477798976
extension,open_window,OLHC,1.0,midpoint,30,17,3,3,0,14,0.0,-6.8784691269307245,0.10154988566218814,6.980019012592913,-7.24182607447767,-0.26180706188475716,-0.42598976908692177,-0.08726902062825238
extension,open_window,OLHC,1.0,confirmation,30,6,3,3,0,3,0.0,-0.24394751587225488,0.46639319632465026,0.7103407121969052,-1.744628808426369,-0.26180706188475716,-0.2907714680710615,-0.08726902062825238
extension,open_window,OLHC,1.5,midpoint,30,17,3,3,0,14,0.0,-7.135988191458697,0.10154988566218748,7.2375380771208855,-7.533383841454855,-0.29584576433396925,-0.4431402259679326,-0.09861525477798976
extension,open_window,OLHC,1.5,confirmation,30,6,3,3,0,3,0.0,-0.27094287629482966,0.466552511729444,0.7374953880242735,-1.888870901450897,-0.29584576433396925,-0.31481181690848287,-0.09861525477798976
late,baseline,OHLC,1.0,midpoint,204,105,28,28,0,77,0.0,15.241743164824078,-1.3501125806643197,-16.5918557454884,17.58200250200173,0.9901467565133286,0.16744764287620695,0.03536238416119031
late,baseline,OHLC,1.0,confirmation,204,61,28,28,0,33,0.0,5.9044338770809475,6.199670465176133,0.29523658809518505,0.08662512015447343,0.9901467565133286,0.001420083936958581,0.03536238416119031
late,baseline,OHLC,1.5,midpoint,204,103,25,25,0,78,0.0,11.91593079414027,-1.0417559338995828,-12.957686728039851,15.161268272879072,2.20358154483922,0.1471967793483405,0.08814326179356881
late,baseline,OHLC,1.5,confirmation,204,59,25,25,0,34,0.0,3.0714184326493728,6.086960468385609,3.015542035736236,-1.9836485852616146,2.20358154483922,-0.03362116246206127,0.08814326179356881
late,baseline,OLHC,1.0,midpoint,204,105,28,28,0,77,0.0,15.241743164824078,-1.3501125806643197,-16.5918557454884,17.58200250200173,0.9901467565133286,0.16744764287620695,0.03536238416119031
