period,window,path,cost_mult,entry_mode,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,no_confirmation,invalidated,entry_invalid,entry_cost,submitted,mean_net_r,pf,win_rate
early,baseline,OHLC,1.0,confirmation,241,241,53,0,0,0,0,37,2.9540107972257794,21.43940028408737,18.48538948686159,27,171,17,0,0,0,0.055736052777844894,1.1598024644990754,0.5094339622641509
early,baseline,OHLC,1.0,confirmed_retest,241,241,26,0,27,0,0,15,2.146685132626166,13.381056171984687,11.23437103935852,10,171,17,0,0,53,0.08256481279331407,1.1910819150538527,0.38461538461538464
early,baseline,OHLC,1.0,midpoint,241,241,109,0,132,0,0,57,3.027935005709767,51.46836847343114,48.44043346772137,47,0,0,0,0,0,0.027779220235869425,1.0625084209398634,0.43119266055045874
early,baseline,OHLC,1.5,confirmation,241,241,52,0,0,0,0,36,1.5994389230462964,20.666649455391756,19.067210532345463,26,172,17,0,0,0,0.030758440827813392,1.0838842640528366,0.5
early,baseline,OHLC,1.5,confirmed_retest,241,241,19,0,25,0,0,12,5.047980671865674,11.760929688349847,6.712949016484173,9,172,17,0,8,44,0.26568319325608813,1.7519766140737791,0.47368421052631576
early,baseline,OHLC,1.5,midpoint,241,241,107,0,134,0,0,56,-1.9108790201970791,48.117421847095166,50.028300867292245,44,0,0,0,0,0,-0.0178586824317484,0.9618040391724281,0.411214953271028
early,baseline,OLHC,1.0,confirmation,241,241,53,0,0,0,0,37,2.9540107972257794,21.43940028408737,18.48538948686159,27,171,17,0,0,0,0.055736052777844894,1.1598024644990754,0.5094339622641509
early,baseline,OLHC,1.0,confirmed_retest,241,241,26,0,27,0,0,15,2.146685132626166,13.381056171984687,11.23437103935852,10,171,17,0,0,53,0.08256481279331407,1.1910819150538527,0.38461538461538464
early,baseline,OLHC,1.0,midpoint,241,241,109,0,132,0,0,57,3.027935005709767,51.46836847343114,48.44043346772137,47,0,0,0,0,0,0.027779220235869425,1.0625084209398634,0.43119266055045874
early,baseline,OLHC,1.5,confirmation,241,241,52,0,0,0,0,36,1.5994389230462964,20.666649455391756,19.067210532345463,26,172,17,0,0,0,0.030758440827813392,1.0838842640528366,0.5
early,baseline,OLHC,1.5,confirmed_retest,241,241,19,0,25,0,0,12,5.047980671865674,11.760929688349847,6.712949016484173,9,172,17,0,8,44,0.26568319325608813,1.7519766140737791,0.47368421052631576
early,baseline,OLHC,1.5,midpoint,241,241,107,0,134,0,0,56,-1.9108790201970791,48.117421847095166,50.028300867292245,44,0,0,0,0,0,-0.0178586824317484,0.9618040391724281,0.411214953271028
early,open_window,OHLC,1.0,confirmation,311,311,69,0,0,0,0,46,1.1744001708446403,26.483944998233277,25.309544827388635,35,215,27,0,0,0,0.017020292331081745,1.0464014733909308,0.5072463768115942
early,open_window,OHLC,1.0,confirmed_retest,311,311,33,0,36,0,0,15,-0.05892895483205063,16.478485470903635,16.537414425735683,12,215,27,0,0,69,-0.0017857259040015342,0.9964366282832979,0.36363636363636365
early,open_window,OHLC,1.0,midpoint,311,311,148,0,163,0,0,64,3.245743370295365,75.71125640707858,72.46551303678321,62,0,0,0,0,0,0.021930698447941654,1.0447901799666808,0.4189189189189189
early,open_window,OHLC,1.5,confirmation,311,311,67,0,0,0,0,45,0.6714363356448736,25.63011345272931,24.958677117084438,34,216,27,0,1,0,0.010021437845445874,1.0269019200214449,0.5074626865671642
early,open_window,OHLC,1.5,confirmed_retest,311,311,22,0,33,0,0,12,4.109075173279835,12.918267894561257,8.809192721281423,10,216,27,0,13,55,0.18677614423999248,1.4664530909118434,0.45454545454545453
early,open_window,OHLC,1.5,midpoint,311,311,146,0,165,0,0,63,-2.821316917572903,71.99392311953677,74.81524003710967,59,0,0,0,0,0,-0.01932408847652673,0.9622895426630527,0.4041095890410959
early,open_window,OLHC,1.0,confirmation,311,311,69,0,0,0,0,46,1.1744001708446403,26.483944998233277,25.309544827388635,35,215,27,0,0,0,0.017020292331081745,1.0464014733909308,0.5072463768115942
early,open_window,OLHC,1.0,confirmed_retest,311,311,33,0,36,0,0,15,-0.05892895483205063,16.478485470903635,16.537414425735683,12,215,27,0,0,69,-0.0017857259040015342,0.9964366282832979,0.36363636363636365
early,open_window,OLHC,1.0,midpoint,311,311,148,0,163,0,0,64,3.245743370295365,75.71125640707858,72.46551303678321,62,0,0,0,0,0,0.021930698447941654,1.0447901799666808,0.4189189189189189
early,open_window,OLHC,1.5,confirmation,311,311,67,0,0,0,0,45,0.6714363356448736,25.63011345272931,24.958677117084438,34,216,27,0,1,0,0.010021437845445874,1.0269019200214449,0.5074626865671642
early,open_window,OLHC,1.5,confirmed_retest,311,311,22,0,33,0,0,12,4.109075173279835,12.918267894561257,8.809192721281423,10,216,27,0,13,55,0.18677614423999248,1.4664530909118434,0.45454545454545453
early,open_window,OLHC,1.5,midpoint,311,311,146,0,165,0,0,63,-2.821316917572903,71.99392311953677,74.81524003710967,59,0,0,0,0,0,-0.01932408847652673,0.9622895426630527,0.4041095890410959
extension,baseline,OHLC,1.0,confirmation,22,22,5,0,0,0,0,4,-0.4857926154185989,1.0195925799177727,1.5053851953363717,3,15,2,0,0,0,-0.09715852308371978,0.6772968028890103,0.6
extension,baseline,OHLC,1.0,confirmed_retest,22,22,3,0,2,0,0,2,-0.26180706188475716,1.232799701572534,1.4946067634572913,1,15,2,0,0,5,-0.08726902062825238,0.8248321442898124,0.3333333333333333
extension,baseline,OHLC,1.0,midpoint,22,22,12,0,10,0,0,5,-4.963978704152056,2.79889132261557,7.762870026767626,4,0,0,0,0,0,-0.4136648920126713,0.36054852302879503,0.3333333333333333
extension,baseline,OHLC,1.5,confirmation,22,22,5,0,0,0,0,4,-0.5360362192644708,0.9891857284665746,1.5252219477310454,3,15,2,0,0,0,-0.10720724385289415,0.6485519893928288,0.6
extension,baseline,OHLC,1.5,confirmed_retest,22,22,3,0,2,0,0,2,-0.29584576433396925,1.2276507768046296,1.523496541138599,1,15,2,0,0,5,-0.09861525477798976,0.8058113317980582,0.3333333333333333
extension,baseline,OHLC,1.5,midpoint,22,22,12,0,10,0,0,5,-5.116612785966432,2.762475734984667,7.8790885209510995,4,0,0,0,0,0,-0.426384398830536,0.35060854153866056,0.3333333333333333
extension,baseline,OLHC,1.0,confirmation,22,22,5,0,0,0,0,4,-0.4857926154185989,1.0195925799177727,1.5053851953363717,3,15,2,0,0,0,-0.09715852308371978,0.6772968028890103,0.6
extension,baseline,OLHC,1.0,confirmed_retest,22,22,3,0,2,0,0,2,-0.26180706188475716,1.232799701572534,1.4946067634572913,1,15,2,0,0,5,-0.08726902062825238,0.8248321442898124,0.3333333333333333
extension,baseline,OLHC,1.0,midpoint,22,22,12,0,10,0,0,5,-4.963978704152056,2.79889132261557,7.762870026767626,4,0,0,0,0,0,-0.4136648920126713,0.36054852302879503,0.3333333333333333
extension,baseline,OLHC,1.5,confirmation,22,22,5,0,0,0,0,4,-0.5360362192644708,0.9891857284665746,1.5252219477310454,3,15,2,0,0,0,-0.10720724385289415,0.6485519893928288,0.6
extension,baseline,OLHC,1.5,confirmed_retest,22,22,3,0,2,0,0,2,-0.29584576433396925,1.2276507768046296,1.523496541138599,1,15,2,0,0,5,-0.09861525477798976,0.8058113317980582,0.3333333333333333
extension,baseline,OLHC,1.5,midpoint,22,22,12,0,10,0,0,5,-5.116612785966432,2.762475734984667,7.8790885209510995,4,0,0,0,0,0,-0.426384398830536,0.35060854153866056,0.3333333333333333
extension,open_window,OHLC,1.0,confirmation,30,30,6,0,0,0,0,5,-0.9721477740816624,1.0195925799177727,1.9917403539994352,3,19,5,0,0,0,-0.1620246290136104,0.5119103892585298,0.5
extension,open_window,OHLC,1.0,confirmed_retest,30,30,3,0,3,0,0,2,-0.26180706188475716,1.232799701572534,1.4946067634572913,1,19,5,0,0,6,-0.08726902062825238,0.8248321442898124,0.3333333333333333
extension,open_window,OHLC,1.0,midpoint,30,30,17,0,13,0,0,5,-7.241826074477672,4.769668297257141,12.01149437173481,5,0,0,0,0,0,-0.4259897690869219,0.3970919978517429,0.29411764705882354
extension,open_window,OHLC,1.5,confirmation,30,30,6,0,0,0,0,5,-1.033341152358243,0.9891857284665746,2.0225268808248176,3,19,5,0,0,0,-0.1722235253930405,0.48908409467624453,0.5
extension,open_window,OHLC,1.5,confirmed_retest,30,30,3,0,3,0,0,2,-0.29584576433396925,1.2276507768046296,1.523496541138599,1,19,5,0,0,6,-0.09861525477798976,0.8058113317980582,0.3333333333333333
