arm,period,path,cost_mult,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,mean_net_r,pf,win_rate,fill_rate
baseline,early,OHLC,1.00000000,243,243,109,0,134,0,0,57,3.02793501,51.46836847,48.44043347,47,0.02777922,1.06250842,0.43119266,0.44855967
baseline,early,OHLC,1.50000000,243,243,107,0,136,0,0,56,-1.91087902,48.11742185,50.02830087,44,-0.01785868,0.96180404,0.41121495,0.44032922
baseline,early,OLHC,1.00000000,243,243,109,0,134,0,0,57,3.02793501,51.46836847,48.44043347,47,0.02777922,1.06250842,0.43119266,0.44855967
baseline,early,OLHC,1.50000000,243,243,107,0,136,0,0,56,-1.91087902,48.11742185,50.02830087,44,-0.01785868,0.96180404,0.41121495,0.44032922
baseline,late,OHLC,1.00000000,206,206,105,0,101,0,0,51,17.58200250,58.11861394,40.53661144,54,0.16744764,1.43373143,0.51428571,0.50970874
baseline,late,OHLC,1.50000000,206,206,103,0,103,0,0,48,15.16126827,56.80392062,41.64265235,53,0.14719678,1.36408027,0.51456311,0.50000000
baseline,late,OLHC,1.00000000,206,206,105,0,101,0,0,51,17.58200250,58.11861394,40.53661144,54,0.16744764,1.43373143,0.51428571,0.50970874
baseline,late,OLHC,1.50000000,206,206,103,0,103,0,0,48,15.16126827,56.80392062,41.64265235,53,0.14719678,1.36408027,0.51456311,0.50000000
edge_retest,early,OHLC,1.00000000,250,250,151,0,99,0,0,95,-7.48712227,53.54835856,61.03548083,64,-0.04958359,0.87733164,0.42384106,0.60400000
edge_retest,early,OHLC,1.50000000,250,250,150,0,100,0,0,94,-11.02613209,51.88325551,62.90938759,63,-0.07350755,0.82472994,0.42000000,0.60000000
edge_retest,early,OLHC,1.00000000,250,250,151,0,99,0,0,95,-7.48712227,53.54835856,61.03548083,64,-0.04958359,0.87733164,0.42384106,0.60400000
edge_retest,early,OLHC,1.50000000,250,250,150,0,100,0,0,94,-11.02613209,51.88325551,62.90938759,63,-0.07350755,0.82472994,0.42000000,0.60000000
edge_retest,late,OHLC,1.00000000,206,206,124,0,82,0,0,72,8.07852142,53.44433060,45.36580918,63,0.06514937,1.17807511,0.50806452,0.60194175
edge_retest,late,OHLC,1.50000000,206,206,122,0,84,0,0,71,3.23328764,49.85258724,46.61929960,59,0.02650236,1.06935513,0.48360656,0.59223301
edge_retest,late,OLHC,1.00000000,206,206,124,0,82,0,0,72,8.07852142,53.44433060,45.36580918,63,0.06514937,1.17807511,0.50806452,0.60194175
edge_retest,late,OLHC,1.50000000,206,206,122,0,84,0,0,71,3.23328764,49.85258724,46.61929960,59,0.02650236,1.06935513,0.48360656,0.59223301
h1_aligned,early,OHLC,1.00000000,97,97,44,0,53,0,0,15,-13.11797874,14.17393299,27.29191173,13,-0.29813588,0.51934555,0.29545455,0.45360825
h1_aligned,early,OHLC,1.50000000,97,97,43,0,54,0,0,15,-15.90435214,11.94312844,27.84748058,11,-0.36986865,0.42887644,0.25581395,0.44329897
h1_aligned,early,OLHC,1.00000000,97,97,44,0,53,0,0,15,-13.11797874,14.17393299,27.29191173,13,-0.29813588,0.51934555,0.29545455,0.45360825
h1_aligned,early,OLHC,1.50000000,97,97,43,0,54,0,0,15,-15.90435214,11.94312844,27.84748058,11,-0.36986865,0.42887644,0.25581395,0.44329897
h1_aligned,late,OHLC,1.00000000,80,80,36,0,44,0,0,17,0.58676548,15.62046883,15.03370335,16,0.01629904,1.03903000,0.44444444,0.45000000
h1_aligned,late,OHLC,1.50000000,80,80,34,0,46,0,0,15,0.34236749,15.46655404,15.12418655,15,0.01006963,1.02263708,0.44117647,0.42500000
h1_aligned,late,OLHC,1.00000000,80,80,36,0,44,0,0,17,0.58676548,15.62046883,15.03370335,16,0.01629904,1.03903000,0.44444444,0.45000000
h1_aligned,late,OLHC,1.50000000,80,80,34,0,46,0,0,15,0.34236749,15.46655404,15.12418655,15,0.01006963,1.02263708,0.44117647,0.42500000
open_window,early,OHLC,1.00000000,316,316,148,0,168,0,0,64,3.24574337,75.71125641,72.46551304,62,0.02193070,1.04479018,0.41891892,0.46835443
open_window,early,OHLC,1.50000000,316,316,146,0,170,0,0,63,-2.82131692,71.99392312,74.81524004,59,-0.01932409,0.96228954,0.40410959,0.46202532
open_window,early,OLHC,1.00000000,316,316,148,0,168,0,0,64,3.24574337,75.71125641,72.46551304,62,0.02193070,1.04479018,0.41891892,0.46835443
open_window,early,OLHC,1.50000000,316,316,146,0,170,0,0,63,-2.82131692,71.99392312,74.81524004,59,-0.01932409,0.96228954,0.40410959,0.46202532
open_window,late,OHLC,1.00000000,275,275,142,0,133,0,1,61,25.94399949,82.96746312,57.02346363,73,0.18270422,1.45497060,0.51408451,0.51636364
open_window,late,OHLC,1.50000000,275,275,140,0,135,0,1,58,22.47905844,81.12585094,58.64679250,70,0.16056470,1.38329562,0.50000000,0.50909091
open_window,late,OLHC,1.00000000,275,275,142,0,133,0,1,61,25.94399949,82.96746312,57.02346363,73,0.18270422,1.45497060,0.51408451,0.51636364
open_window,late,OLHC,1.50000000,275,275,140,0,135,0,1,58,22.47905844,81.12585094,58.64679250,70,0.16056470,1.38329562,0.50000000,0.50909091
quarter_retest,early,OHLC,1.00000000,249,249,133,0,116,0,0,75,0.45804879,57.47035929,57.01231050,62,0.00344398,1.00803421,0.46616541,0.53413655
quarter_retest,early,OHLC,1.50000000,249,249,130,0,119,0,0,73,-5.22551887,52.87509155,58.10061043,59,-0.04019630,0.91006086,0.45384615,0.52208835
quarter_retest,early,OLHC,1.00000000,249,249,133,0,116,0,0,75,0.45804879,57.47035929,57.01231050,62,0.00344398,1.00803421,0.46616541,0.53413655
quarter_retest,early,OLHC,1.50000000,249,249,130,0,119,0,0,73,-5.22551887,52.87509155,58.10061043,59,-0.04019630,0.91006086,0.45384615,0.52208835
quarter_retest,late,OHLC,1.00000000,206,206,113,0,93,0,0,62,13.10080111,55.02257182,41.92177071,59,0.11593629,1.31250591,0.52212389,0.54854369
quarter_retest,late,OHLC,1.50000000,206,206,112,0,94,0,0,62,7.78432561,50.96806243,43.18373682,57,0.06950291,1.18026058,0.50892857,0.54368932
quarter_retest,late,OLHC,1.00000000,206,206,113,0,93,0,0,62,13.10080111,55.02257182,41.92177071,59,0.11593629,1.31250591,0.52212389,0.54854369
quarter_retest,late,OLHC,1.50000000,206,206,112,0,94,0,0,62,7.78432561,50.96806243,43.18373682,57,0.06950291,1.18026058,0.50892857,0.54368932
