period,window,path,cost_mult,quarter,orders,filled,total_net_r,mean_net_r
early,baseline,OHLC,1.0,2023Q2,2,0,0.0,
early,baseline,OHLC,1.0,2023Q3,41,16,-4.9692606848630625,-0.3105787928039414
early,baseline,OHLC,1.0,2023Q4,36,19,-3.687535733662143,-0.1940808280874812
early,baseline,OHLC,1.0,2024Q1,27,12,5.298008529082808,0.44150071075690067
early,baseline,OHLC,1.0,2024Q2,34,16,2.2221028164278414,0.13888142602674008
early,baseline,OHLC,1.0,2024Q3,59,30,4.1128780229109285,0.13709593409703094
early,baseline,OHLC,1.0,2024Q4,42,16,0.05174205581339614,0.0032338784883372586
early,baseline,OHLC,1.5,2023Q2,2,0,0.0,
early,baseline,OHLC,1.5,2023Q3,41,15,-7.349601976356338,-0.4899734650904225
early,baseline,OHLC,1.5,2023Q4,36,18,-4.395205671101488,-0.24417809283897154
early,baseline,OHLC,1.5,2024Q1,27,12,4.976165319518313,0.41468044329319276
early,baseline,OHLC,1.5,2024Q2,34,16,1.6944481712322192,0.1059030107020137
early,baseline,OHLC,1.5,2024Q3,59,30,3.4966772043845054,0.11655590681281684
early,baseline,OHLC,1.5,2024Q4,42,16,-0.33336206787428946,-0.02083512924214309
early,baseline,OLHC,1.0,2023Q2,2,0,0.0,
early,baseline,OLHC,1.0,2023Q3,41,16,-4.9692606848630625,-0.3105787928039414
early,baseline,OLHC,1.0,2023Q4,36,19,-3.687535733662143,-0.1940808280874812
early,baseline,OLHC,1.0,2024Q1,27,12,5.298008529082808,0.44150071075690067
early,baseline,OLHC,1.0,2024Q2,34,16,2.2221028164278414,0.13888142602674008
early,baseline,OLHC,1.0,2024Q3,59,30,4.1128780229109285,0.13709593409703094
early,baseline,OLHC,1.0,2024Q4,42,16,0.05174205581339614,0.0032338784883372586
early,baseline,OLHC,1.5,2023Q2,2,0,0.0,
early,baseline,OLHC,1.5,2023Q3,41,15,-7.349601976356338,-0.4899734650904225
early,baseline,OLHC,1.5,2023Q4,36,18,-4.395205671101488,-0.24417809283897154
early,baseline,OLHC,1.5,2024Q1,27,12,4.976165319518313,0.41468044329319276
early,baseline,OLHC,1.5,2024Q2,34,16,1.6944481712322192,0.1059030107020137
early,baseline,OLHC,1.5,2024Q3,59,30,3.4966772043845054,0.11655590681281684
early,baseline,OLHC,1.5,2024Q4,42,16,-0.33336206787428946,-0.02083512924214309
early,open_window,OHLC,1.0,2023Q2,2,0,0.0,
early,open_window,OHLC,1.0,2023Q3,52,19,-2.1720212311762768,-0.11431690690401457
early,open_window,OHLC,1.0,2023Q4,48,26,-0.29255992448699514,-0.011252304787961352
early,open_window,OHLC,1.0,2024Q1,38,18,1.6973159820389498,0.09429533233549721
