period,window,path,cost_mult,symbol,orders,filled,total_net_r,mean_net_r
early,baseline,OHLC,1.0,AUDUSD,28,9,-0.7532633388577481,-0.08369592653974979
early,baseline,OHLC,1.0,BTCUSD,36,20,6.80904647439636,0.340452323719818
early,baseline,OHLC,1.0,EURUSD,22,10,-0.6552592813919145,-0.06552592813919145
early,baseline,OHLC,1.0,GBPJPY,13,7,-0.17982574873973256,-0.025689392677104652
early,baseline,OHLC,1.0,GBPUSD,18,6,1.0058125460630187,0.16763542434383646
early,baseline,OHLC,1.0,US30,47,20,2.998177649776832,0.1499088824888416
early,baseline,OHLC,1.0,USDCAD,30,13,-0.8864759103867204,-0.06819045464513233
early,baseline,OHLC,1.0,USDJPY,19,13,0.688516627517161,0.05296281750132008
early,baseline,OHLC,1.0,XAUUSD,28,11,-5.998794012667489,-0.545344910242499
early,baseline,OHLC,1.5,AUDUSD,28,8,-3.0456184125569665,-0.3807023015696208
early,baseline,OHLC,1.5,BTCUSD,36,20,6.514739727341254,0.3257369863670627
early,baseline,OHLC,1.5,EURUSD,22,10,-1.042190384045399,-0.1042190384045399
early,baseline,OHLC,1.5,GBPJPY,13,7,-0.36318169873105144,-0.051883099818721634
early,baseline,OHLC,1.5,GBPUSD,18,6,0.7255949508283976,0.12093249180473294
early,baseline,OHLC,1.5,US30,47,20,2.917591976628142,0.1458795988314071
early,baseline,OHLC,1.5,USDCAD,30,13,-1.5433210203532401,-0.11871700156563386
early,baseline,OHLC,1.5,USDJPY,19,12,0.04281986218724909,0.0035683218489374244
early,baseline,OHLC,1.5,XAUUSD,28,11,-6.117314021495465,-0.5561194564995877
early,baseline,OLHC,1.0,AUDUSD,28,9,-0.7532633388577481,-0.08369592653974979
early,baseline,OLHC,1.0,BTCUSD,36,20,6.80904647439636,0.340452323719818
early,baseline,OLHC,1.0,EURUSD,22,10,-0.6552592813919145,-0.06552592813919145
early,baseline,OLHC,1.0,GBPJPY,13,7,-0.17982574873973256,-0.025689392677104652
early,baseline,OLHC,1.0,GBPUSD,18,6,1.0058125460630187,0.16763542434383646
early,baseline,OLHC,1.0,US30,47,20,2.998177649776832,0.1499088824888416
early,baseline,OLHC,1.0,USDCAD,30,13,-0.8864759103867204,-0.06819045464513233
early,baseline,OLHC,1.0,USDJPY,19,13,0.688516627517161,0.05296281750132008
early,baseline,OLHC,1.0,XAUUSD,28,11,-5.998794012667489,-0.545344910242499
early,baseline,OLHC,1.5,AUDUSD,28,8,-3.0456184125569665,-0.3807023015696208
early,baseline,OLHC,1.5,BTCUSD,36,20,6.514739727341254,0.3257369863670627
early,baseline,OLHC,1.5,EURUSD,22,10,-1.042190384045399,-0.1042190384045399
early,baseline,OLHC,1.5,GBPJPY,13,7,-0.36318169873105144,-0.051883099818721634
early,baseline,OLHC,1.5,GBPUSD,18,6,0.7255949508283976,0.12093249180473294
early,baseline,OLHC,1.5,US30,47,20,2.917591976628142,0.1458795988314071
early,baseline,OLHC,1.5,USDCAD,30,13,-1.5433210203532401,-0.11871700156563386
early,baseline,OLHC,1.5,USDJPY,19,12,0.04281986218724909,0.0035683218489374244
early,baseline,OLHC,1.5,XAUUSD,28,11,-6.117314021495465,-0.5561194564995877
early,open_window,OHLC,1.0,AUDUSD,34,13,-3.9909140779230947,-0.30699339060946884
early,open_window,OHLC,1.0,BTCUSD,45,22,10.021755024435443,0.45553431929252014
early,open_window,OHLC,1.0,EURUSD,29,11,-1.7138787334794954,-0.15580715758904504
early,open_window,OHLC,1.0,GBPJPY,18,11,-1.332251589549395,-0.12111378086812681
early,open_window,OHLC,1.0,GBPUSD,22,8,4.884040605425638,0.6105050756782048
early,open_window,OHLC,1.0,US30,52,24,4.9593822713944125,0.20664092797476719
early,open_window,OHLC,1.0,USDCAD,45,24,-5.451567293191906,-0.2271486372163294
early,open_window,OHLC,1.0,USDJPY,27,17,-1.1932023318287281,-0.07018837246051342
early,open_window,OHLC,1.0,XAUUSD,39,18,-2.937620504987506,-0.16320113916597256
early,open_window,OHLC,1.5,AUDUSD,34,12,-6.450341205727857,-0.5375284338106547
early,open_window,OHLC,1.5,BTCUSD,45,22,9.71961193941706,0.44180054270077546
early,open_window,OHLC,1.5,EURUSD,29,11,-2.13011956217677,-0.19364723292516092
early,open_window,OHLC,1.5,GBPJPY,18,11,-1.6933241374089465,-0.15393855794626787
early,open_window,OHLC,1.5,GBPUSD,22,8,4.542937039872326,0.5678671299840408
early,open_window,OHLC,1.5,US30,52,24,4.859398909054513,0.20247495454393805
early,open_window,OHLC,1.5,USDCAD,45,24,-6.574174499103453,-0.2739239374626439
early,open_window,OHLC,1.5,USDJPY,27,16,-1.9786555970526216,-0.12366597481578885
early,open_window,OHLC,1.5,XAUUSD,39,18,-3.116649804447155,-0.17314721135817526
early,open_window,OLHC,1.0,AUDUSD,34,13,-3.9909140779230947,-0.30699339060946884
early,open_window,OLHC,1.0,BTCUSD,45,22,10.021755024435443,0.45553431929252014
early,open_window,OLHC,1.0,EURUSD,29,11,-1.7138787334794954,-0.15580715758904504
early,open_window,OLHC,1.0,GBPJPY,18,11,-1.332251589549395,-0.12111378086812681
early,open_window,OLHC,1.0,GBPUSD,22,8,4.884040605425638,0.6105050756782048
early,open_window,OLHC,1.0,US30,52,24,4.9593822713944125,0.20664092797476719
early,open_window,OLHC,1.0,USDCAD,45,24,-5.451567293191906,-0.2271486372163294
early,open_window,OLHC,1.0,USDJPY,27,17,-1.1932023318287281,-0.07018837246051342
early,open_window,OLHC,1.0,XAUUSD,39,18,-2.937620504987506,-0.16320113916597256
early,open_window,OLHC,1.5,AUDUSD,34,12,-6.450341205727857,-0.5375284338106547
early,open_window,OLHC,1.5,BTCUSD,45,22,9.71961193941706,0.44180054270077546
early,open_window,OLHC,1.5,EURUSD,29,11,-2.13011956217677,-0.19364723292516092
early,open_window,OLHC,1.5,GBPJPY,18,11,-1.6933241374089465,-0.15393855794626787
early,open_window,OLHC,1.5,GBPUSD,22,8,4.542937039872326,0.5678671299840408
early,open_window,OLHC,1.5,US30,52,24,4.859398909054513,0.20247495454393805
early,open_window,OLHC,1.5,USDCAD,45,24,-6.574174499103453,-0.2739239374626439
early,open_window,OLHC,1.5,USDJPY,27,16,-1.9786555970526216,-0.12366597481578885
early,open_window,OLHC,1.5,XAUUSD,39,18,-3.116649804447155,-0.17314721135817526
extension,baseline,OHLC,1.0,AUDUSD,1,1,-1.0754194243497006,-1.0754194243497006
extension,baseline,OHLC,1.0,BTCUSD,6,4,-0.012749285791611609,-0.003187321447902902
extension,baseline,OHLC,1.0,EURUSD,1,0,0.0,
extension,baseline,OHLC,1.0,GBPUSD,1,1,-1.0484189723320148,-1.0484189723320148
extension,baseline,OHLC,1.0,US30,7,5,-1.780153714259911,-0.3560307428519822
extension,baseline,OHLC,1.0,USDCAD,1,1,-1.0472373074188177,-1.0472373074188177
extension,baseline,OHLC,1.0,USDJPY,1,0,0.0,
extension,baseline,OHLC,1.0,XAUUSD,4,0,0.0,
extension,baseline,OHLC,1.5,AUDUSD,1,1,-1.113129136524551,-1.113129136524551
extension,baseline,OHLC,1.5,BTCUSD,6,4,-0.059874325585159704,-0.014968581396289926
extension,baseline,OHLC,1.5,EURUSD,1,0,0.0,
extension,baseline,OHLC,1.5,GBPUSD,1,1,-1.072628458498022,-1.072628458498022
extension,baseline,OHLC,1.5,US30,7,5,-1.8001249042304734,-0.3600249808460947
extension,baseline,OHLC,1.5,USDCAD,1,1,-1.070855961128226,-1.070855961128226
extension,baseline,OHLC,1.5,USDJPY,1,0,0.0,
extension,baseline,OHLC,1.5,XAUUSD,4,0,0.0,
extension,baseline,OLHC,1.0,AUDUSD,1,1,-1.0754194243497006,-1.0754194243497006
extension,baseline,OLHC,1.0,BTCUSD,6,4,-0.012749285791611609,-0.003187321447902902
extension,baseline,OLHC,1.0,EURUSD,1,0,0.0,
extension,baseline,OLHC,1.0,GBPUSD,1,1,-1.0484189723320148,-1.0484189723320148
extension,baseline,OLHC,1.0,US30,7,5,-1.780153714259911,-0.3560307428519822
extension,baseline,OLHC,1.0,USDCAD,1,1,-1.0472373074188177,-1.0472373074188177
extension,baseline,OLHC,1.0,USDJPY,1,0,0.0,
extension,baseline,OLHC,1.0,XAUUSD,4,0,0.0,
extension,baseline,OLHC,1.5,AUDUSD,1,1,-1.113129136524551,-1.113129136524551
extension,baseline,OLHC,1.5,BTCUSD,6,4,-0.059874325585159704,-0.014968581396289926
extension,baseline,OLHC,1.5,EURUSD,1,0,0.0,
extension,baseline,OLHC,1.5,GBPUSD,1,1,-1.072628458498022,-1.072628458498022
extension,baseline,OLHC,1.5,US30,7,5,-1.8001249042304734,-0.3600249808460947
extension,baseline,OLHC,1.5,USDCAD,1,1,-1.070855961128226,-1.070855961128226
extension,baseline,OLHC,1.5,USDJPY,1,0,0.0,
extension,baseline,OLHC,1.5,XAUUSD,4,0,0.0,
extension,open_window,OHLC,1.0,AUDUSD,1,1,-1.0754194243497006,-1.0754194243497006
extension,open_window,OHLC,1.0,BTCUSD,8,6,0.9111054074694873,0.15185090124491454
extension,open_window,OHLC,1.0,EURUSD,1,0,0.0,
extension,open_window,OHLC,1.0,GBPUSD,1,1,-1.0484189723320148,-1.0484189723320148
extension,open_window,OHLC,1.0,US30,8,6,-2.793992394784086,-0.465665399130681
extension,open_window,OHLC,1.0,USDCAD,3,2,-2.136641267941766,-1.068320633970883
extension,open_window,OHLC,1.0,USDJPY,2,1,-1.0984594225395905,-1.0984594225395905
extension,open_window,OHLC,1.0,XAUUSD,6,0,0.0,
extension,open_window,OHLC,1.5,AUDUSD,1,1,-1.113129136524551,-1.113129136524551
extension,open_window,OHLC,1.5,BTCUSD,8,6,0.8259077143064881,0.137651285717748
extension,open_window,OHLC,1.5,EURUSD,1,0,0.0,
extension,open_window,OHLC,1.5,GBPUSD,1,1,-1.072628458498022,-1.072628458498022
extension,open_window,OHLC,1.5,US30,8,6,-2.8208829250167358,-0.47014715416945596
extension,open_window,OHLC,1.5,USDCAD,3,2,-2.2049619019126485,-1.1024809509563243
extension,open_window,OHLC,1.5,USDJPY,2,1,-1.1476891338093855,-1.1476891338093855
extension,open_window,OHLC,1.5,XAUUSD,6,0,0.0,
extension,open_window,OLHC,1.0,AUDUSD,1,1,-1.0754194243497006,-1.0754194243497006
extension,open_window,OLHC,1.0,BTCUSD,8,6,0.9111054074694873,0.15185090124491454
extension,open_window,OLHC,1.0,EURUSD,1,0,0.0,
extension,open_window,OLHC,1.0,GBPUSD,1,1,-1.0484189723320148,-1.0484189723320148
extension,open_window,OLHC,1.0,US30,8,6,-2.793992394784086,-0.465665399130681
extension,open_window,OLHC,1.0,USDCAD,3,2,-2.136641267941766,-1.068320633970883
extension,open_window,OLHC,1.0,USDJPY,2,1,-1.0984594225395905,-1.0984594225395905
extension,open_window,OLHC,1.0,XAUUSD,6,0,0.0,
extension,open_window,OLHC,1.5,AUDUSD,1,1,-1.113129136524551,-1.113129136524551
extension,open_window,OLHC,1.5,BTCUSD,8,6,0.8259077143064881,0.137651285717748
extension,open_window,OLHC,1.5,EURUSD,1,0,0.0,
extension,open_window,OLHC,1.5,GBPUSD,1,1,-1.072628458498022,-1.072628458498022
extension,open_window,OLHC,1.5,US30,8,6,-2.8208829250167358,-0.47014715416945596
extension,open_window,OLHC,1.5,USDCAD,3,2,-2.2049619019126485,-1.1024809509563243
extension,open_window,OLHC,1.5,USDJPY,2,1,-1.1476891338093855,-1.1476891338093855
extension,open_window,OLHC,1.5,XAUUSD,6,0,0.0,
late,baseline,OHLC,1.0,AUDUSD,23,11,6.565505459511526,0.596864132682866
late,baseline,OHLC,1.0,BTCUSD,32,18,-4.540035665388929,-0.2522242036327183
late,baseline,OHLC,1.0,EURUSD,15,9,2.272252709832328,0.2524725233147031
late,baseline,OHLC,1.0,GBPJPY,14,7,0.3530416993162393,0.05043452847374847
late,baseline,OHLC,1.0,GBPUSD,16,9,6.015897195964827,0.6684330217738697
late,baseline,OHLC,1.0,US30,46,22,6.925647195329922,0.3148021452422692
late,baseline,OHLC,1.0,USDCAD,13,5,2.982300425286038,0.5964600850572076
late,baseline,OHLC,1.0,USDJPY,18,9,0.8797563758086764,0.09775070842318627
late,baseline,OHLC,1.0,XAUUSD,27,15,-3.8723628936588996,-0.2581575262439266
late,baseline,OHLC,1.5,AUDUSD,23,11,5.5956678772979505,0.5086970797543592
late,baseline,OHLC,1.5,BTCUSD,32,18,-4.672102051117748,-0.2595612250620971
late,baseline,OHLC,1.5,EURUSD,15,7,2.110845092661201,0.3015492989516001
late,baseline,OHLC,1.5,GBPJPY,14,7,0.09136207815250952,0.013051725450358502
late,baseline,OHLC,1.5,GBPUSD,16,9,5.731819625992771,0.6368688473325301
late,baseline,OHLC,1.5,US30,46,22,6.799797459662221,0.30908170271191915
late,baseline,OHLC,1.5,USDCAD,13,5,2.8168132091670857,0.5633626418334171
late,baseline,OHLC,1.5,USDJPY,18,9,0.6178970679414189,0.06865522977126876
late,baseline,OHLC,1.5,XAUUSD,27,15,-3.930832086878335,-0.26205547245855565
late,baseline,OLHC,1.0,AUDUSD,23,11,6.565505459511526,0.596864132682866
late,baseline,OLHC,1.0,BTCUSD,32,18,-4.540035665388929,-0.2522242036327183
late,baseline,OLHC,1.0,EURUSD,15,9,2.272252709832328,0.2524725233147031
