period,window,path,cost_mult,weeks,bootstrap_valid,mean_net_r,ci_low,ci_high
early,baseline,OHLC,1.0,80,2000,0.02777922023586945,-0.14281164864732002,0.20015244086261968
early,baseline,OHLC,1.5,80,2000,-0.017858682431748395,-0.19711426878215024,0.16711994846363543
early,baseline,OLHC,1.0,80,2000,0.02777922023586945,-0.14281164864732002,0.20015244086261968
early,baseline,OLHC,1.5,80,2000,-0.017858682431748395,-0.19711426878215024,0.16711994846363543
early,open_window,OHLC,1.0,80,2000,0.02193069844794167,-0.15516072490557842,0.18671041336346234
early,open_window,OHLC,1.5,80,2000,-0.01932408847652674,-0.20144810840628177,0.14804586957312046
early,open_window,OLHC,1.0,80,2000,0.02193069844794167,-0.15516072490557842,0.18671041336346234
early,open_window,OLHC,1.5,80,2000,-0.01932408847652674,-0.20144810840628177,0.14804586957312046
extension,baseline,OHLC,1.0,13,2000,-0.4136648920126713,-0.861680727977649,0.020941552969391788
extension,baseline,OHLC,1.5,13,2000,-0.4263843988305361,-0.8780550738237977,0.00906280622283653
extension,baseline,OLHC,1.0,13,2000,-0.4136648920126713,-0.861680727977649,0.020941552969391788
extension,baseline,OLHC,1.5,13,2000,-0.4263843988305361,-0.8780550738237977,0.00906280622283653
extension,open_window,OHLC,1.0,13,2000,-0.4259897690869218,-0.9259933830675263,0.051735793663608705
extension,open_window,OHLC,1.5,13,2000,-0.4431402259679326,-0.9469416104236572,0.03430583925329979
extension,open_window,OLHC,1.0,13,2000,-0.4259897690869218,-0.9259933830675263,0.051735793663608705
extension,open_window,OLHC,1.5,13,2000,-0.4431402259679326,-0.9469416104236572,0.03430583925329979
late,baseline,OHLC,1.0,77,2000,0.16744764287620695,-0.026953317741827017,0.3627750984563634
late,baseline,OHLC,1.5,77,2000,0.14719677934834052,-0.05108282135695466,0.3476631605009017
late,baseline,OLHC,1.0,77,2000,0.16744764287620695,-0.026953317741827017,0.3627750984563634
late,baseline,OLHC,1.5,77,2000,0.14719677934834052,-0.05108282135695466,0.3476631605009017
late,open_window,OHLC,1.0,77,2000,0.17380802943694093,0.012183623879625122,0.33579363691642616
late,open_window,OHLC,1.5,77,2000,0.1520776588290288,-0.009357449276248302,0.31936528002758807
late,open_window,OLHC,1.0,77,2000,0.17380802943694093,0.012183623879625122,0.33579363691642616
late,open_window,OLHC,1.5,77,2000,0.1520776588290288,-0.009357449276248302,0.31936528002758807
