variant,timeframe,window,exit,verdict,early_min_fills,early_worst_mean_r,early_best_mean_r,late_min_fills,late_worst_mean_r,late_best_mean_r
edge_control,H1,all_hours,fixed,NO_ADVANCE,432,-0.156819,-0.081244,307,-0.156122,-0.126504
edge_control,H1,all_hours,runner,NO_ADVANCE,432,-0.179691,-0.087771,307,-0.175084,-0.119907
edge_control,H1,ny_am,fixed,NO_ADVANCE,72,-0.151470,-0.030509,48,-0.224094,-0.221989
edge_control,H1,ny_am,runner,NO_ADVANCE,72,-0.067734,0.013581,48,-0.057374,0.046751
edge_control,H2,all_hours,fixed,NO_ADVANCE,158,-0.250370,-0.216526,113,0.013656,0.084214
edge_control,H2,all_hours,runner,NO_ADVANCE,158,-0.186463,-0.146140,113,-0.068881,0.051077
edge_control,H2,ny_am,fixed,NO_ADVANCE,18,-0.539945,-0.523054,6,-0.527703,-0.518469
edge_control,H2,ny_am,runner,NO_ADVANCE,18,-0.328337,-0.205184,6,-0.858870,-0.849636
edge_control,M15,all_hours,fixed,NO_ADVANCE,919,-0.241518,-0.146562,994,-0.145243,-0.085700
edge_control,M15,all_hours,runner,NO_ADVANCE,919,-0.226176,-0.111949,992,-0.158585,-0.081931
edge_control,M15,ny_am,fixed,NO_ADVANCE,127,-0.211748,-0.117677,117,-0.024210,0.032041
edge_control,M15,ny_am,runner,NO_ADVANCE,127,-0.192606,-0.090622,117,-0.044408,0.018834
edge_control,M30,all_hours,fixed,NO_ADVANCE,753,-0.255722,-0.196490,652,-0.154931,-0.075778
edge_control,M30,all_hours,runner,NO_ADVANCE,753,-0.273457,-0.188073,651,-0.180534,-0.081981
edge_control,M30,ny_am,fixed,NO_ADVANCE,119,-0.278171,-0.220152,77,0.126485,0.170471
edge_control,M30,ny_am,runner,NO_ADVANCE,119,-0.243154,-0.180431,77,-0.013015,0.038535
edge_control,M5,all_hours,fixed,NO_ADVANCE,1378,-0.257230,-0.174779,2072,-0.196642,-0.132770
edge_control,M5,all_hours,runner,NO_ADVANCE,1377,-0.133682,-0.029176,2074,-0.083065,0.017580
edge_control,M5,ny_am,fixed,NO_ADVANCE,112,-0.276276,-0.086276,136,-0.269171,-0.068407
edge_control,M5,ny_am,runner,NO_ADVANCE,112,-0.093877,0.124814,136,-0.123568,-0.026713
middle_retest,H1,all_hours,fixed,NO_ADVANCE,2079,-0.109674,-0.062272,1826,-0.109765,-0.070718
middle_retest,H1,all_hours,runner,NO_ADVANCE,2112,-0.149143,-0.089800,1861,-0.124220,-0.079808
middle_retest,H1,ny_am,fixed,NO_ADVANCE,224,-0.215504,-0.162415,200,-0.070563,-0.025145
middle_retest,H1,ny_am,runner,NO_ADVANCE,224,-0.277608,-0.194892,200,-0.065545,-0.003159
middle_retest,H2,all_hours,fixed,NO_ADVANCE,841,-0.095902,-0.060310,781,-0.048586,-0.021159
middle_retest,H2,all_hours,runner,NO_ADVANCE,853,-0.110395,-0.069636,800,-0.069765,-0.037417
middle_retest,H2,ny_am,fixed,NO_ADVANCE,52,-0.152226,-0.101411,46,-0.429012,-0.399817
middle_retest,H2,ny_am,runner,NO_ADVANCE,52,-0.175439,-0.094924,46,-0.332707,-0.283717
middle_retest,M15,all_hours,fixed,NO_ADVANCE,6227,-0.188387,-0.128915,6646,-0.199276,-0.142491
middle_retest,M15,all_hours,runner,NO_ADVANCE,6373,-0.212836,-0.149776,6829,-0.185754,-0.126070
middle_retest,M15,ny_am,fixed,NO_ADVANCE,724,-0.161107,-0.109477,640,-0.148551,-0.114887
middle_retest,M15,ny_am,runner,NO_ADVANCE,724,-0.166904,-0.101037,640,-0.123282,-0.079529
middle_retest,M30,all_hours,fixed,NO_ADVANCE,3909,-0.192700,-0.137979,3764,-0.187050,-0.135557
middle_retest,M30,all_hours,runner,NO_ADVANCE,3999,-0.199713,-0.142390,3850,-0.195235,-0.130330
middle_retest,M30,ny_am,fixed,NO_ADVANCE,438,-0.167934,-0.119957,391,-0.203136,-0.142870
middle_retest,M30,ny_am,runner,NO_ADVANCE,438,-0.179581,-0.116827,391,-0.199886,-0.131029
middle_retest,M5,all_hours,fixed,NO_ADVANCE,10684,-0.222265,-0.144841,13667,-0.207422,-0.145892
middle_retest,M5,all_hours,runner,NO_ADVANCE,11051,-0.240580,-0.158336,14248,-0.228164,-0.148460
middle_retest,M5,ny_am,fixed,NO_ADVANCE,744,-0.168077,-0.071007,747,-0.253639,-0.181919
middle_retest,M5,ny_am,runner,NO_ADVANCE,744,-0.169227,-0.091588,747,-0.241534,-0.170845
sweep_reclaim,H1,all_hours,fixed,NO_ADVANCE,149,-0.040615,-0.019371,125,-0.106057,-0.092844
sweep_reclaim,H1,all_hours,runner,NO_ADVANCE,149,-0.098807,-0.069644,125,-0.126008,-0.102432
sweep_reclaim,H1,ny_am,fixed,NO_ADVANCE,19,-0.299820,-0.234468,16,-0.282825,-0.265713
sweep_reclaim,H1,ny_am,runner,NO_ADVANCE,19,-0.369356,-0.250259,16,-0.172742,-0.155042
sweep_reclaim,H2,all_hours,fixed,NO_ADVANCE,12,-0.003471,0.009731,9,-0.465810,-0.457772
sweep_reclaim,H2,all_hours,runner,NO_ADVANCE,12,-0.183507,-0.116543,9,-0.511043,-0.506623
sweep_reclaim,H2,ny_am,fixed,NO_ADVANCE,0,,,1,0.591161,0.601642
sweep_reclaim,H2,ny_am,runner,NO_ADVANCE,0,,,1,0.591161,0.601642
sweep_reclaim,M15,all_hours,fixed,NO_ADVANCE,667,-0.160765,-0.090808,732,-0.092118,-0.055006
sweep_reclaim,M15,all_hours,runner,NO_ADVANCE,667,-0.183591,-0.101480,735,-0.128938,-0.065699
sweep_reclaim,M15,ny_am,fixed,NO_ADVANCE,105,-0.024729,-0.001624,95,0.029248,0.055271
sweep_reclaim,M15,ny_am,runner,NO_ADVANCE,105,-0.088412,-0.019399,95,0.028397,0.085165
sweep_reclaim,M30,all_hours,fixed,NO_ADVANCE,407,-0.172066,-0.137012,391,-0.168904,-0.105679
sweep_reclaim,M30,all_hours,runner,NO_ADVANCE,407,-0.184064,-0.134740,391,-0.104216,-0.045798
sweep_reclaim,M30,ny_am,fixed,NO_ADVANCE,43,-0.013006,0.016433,39,-0.222368,-0.067918
sweep_reclaim,M30,ny_am,runner,NO_ADVANCE,43,-0.128872,-0.060804,39,-0.197232,-0.039085
sweep_reclaim,M5,all_hours,fixed,NO_ADVANCE,1143,-0.219046,-0.135738,1446,-0.155236,-0.098839
sweep_reclaim,M5,all_hours,runner,NO_ADVANCE,1147,-0.241016,-0.156637,1450,-0.167234,-0.104697
sweep_reclaim,M5,ny_am,fixed,NO_ADVANCE,104,-0.258938,-0.172365,111,-0.190530,-0.162370
sweep_reclaim,M5,ny_am,runner,NO_ADVANCE,104,-0.271699,-0.197274,111,-0.117094,-0.054866
