period,path,cost_mult,parent_mode,candidates,orders,filled,skipped,expired,pending,marked,time_exits,total_net_r,gains,losses,wins,mean_net_r,pf,win_rate
early,OHLC,1.0,rolling_control,311,311,148,0,163,0,0,64,3.245743370295367,75.71125640707858,72.46551303678321,62,0.02193069844794167,1.0447901799666808,0.4189189189189189
early,OHLC,1.0,session_range,161,161,72,0,89,0,0,44,3.3752725568899957,31.31651485976662,27.941242302876624,31,0.04687878551236105,1.1207989437371044,0.4305555555555556
early,OHLC,1.5,rolling_control,311,311,146,0,165,0,0,63,-2.8213169175729025,71.99392311953677,74.81524003710967,59,-0.01932408847652673,0.9622895426630527,0.4041095890410959
early,OHLC,1.5,session_range,161,161,72,0,89,0,0,44,1.5791673946601565,30.584420227780733,29.00525283312058,31,0.021932880481391064,1.0544441864977274,0.4305555555555556
early,OLHC,1.0,rolling_control,311,311,148,0,163,0,0,64,3.245743370295367,75.71125640707858,72.46551303678321,62,0.02193069844794167,1.0447901799666808,0.4189189189189189
early,OLHC,1.0,session_range,161,161,72,0,89,0,0,44,3.3752725568899957,31.31651485976662,27.941242302876624,31,0.04687878551236105,1.1207989437371044,0.4305555555555556
early,OLHC,1.5,rolling_control,311,311,146,0,165,0,0,63,-2.8213169175729025,71.99392311953677,74.81524003710967,59,-0.01932408847652673,0.9622895426630527,0.4041095890410959
early,OLHC,1.5,session_range,161,161,72,0,89,0,0,44,1.5791673946601565,30.584420227780733,29.00525283312058,31,0.021932880481391064,1.0544441864977274,0.4305555555555556
extension,OHLC,1.0,rolling_control,30,30,17,0,13,0,0,5,-7.241826074477671,4.769668297257141,12.01149437173481,5,-0.4259897690869218,0.3970919978517429,0.29411764705882354
extension,OHLC,1.0,session_range,15,15,10,0,5,0,0,7,-0.007528013881012541,3.6366193878652764,3.644147401746289,6,-0.000752801388101254,0.9979342180622537,0.6
extension,OHLC,1.5,rolling_control,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,-0.4431402259679326,0.3851315339429399,0.29411764705882354
extension,OHLC,1.5,session_range,15,15,9,0,6,0,0,6,-1.2388884807753764,2.462116102643718,3.7010045834190946,5,-0.13765427564170848,0.6652561614417521,0.5555555555555556
extension,OLHC,1.0,rolling_control,30,30,17,0,13,0,0,5,-7.241826074477671,4.769668297257141,12.01149437173481,5,-0.4259897690869218,0.3970919978517429,0.29411764705882354
extension,OLHC,1.0,session_range,15,15,10,0,5,0,0,7,-0.007528013881012541,3.6366193878652764,3.644147401746289,6,-0.000752801388101254,0.9979342180622537,0.6
extension,OLHC,1.5,rolling_control,30,30,17,0,13,0,0,5,-7.533383841454855,4.718641196947023,12.252025038401879,5,-0.4431402259679326,0.3851315339429399,0.29411764705882354
extension,OLHC,1.5,session_range,15,15,9,0,6,0,0,6,-1.2388884807753764,2.462116102643718,3.7010045834190946,5,-0.13765427564170848,0.6652561614417521,0.5555555555555556
late,OHLC,1.0,rolling_control,271,271,141,0,130,0,0,61,24.50693215060867,81.53039577735291,57.02346362674424,72,0.17380802943694093,1.4297692667534636,0.5106382978723404
late,OHLC,1.0,session_range,137,137,72,0,65,0,0,43,8.165891533138218,34.242267853314736,26.076376320176518,37,0.11341516018247526,1.3131528488803057,0.5138888888888888
late,OHLC,1.5,rolling_control,271,271,139,0,132,0,0,58,21.138794577235004,79.78558707961771,58.6467925023827,69,0.1520776588290288,1.3604424671029738,0.49640287769784175
late,OHLC,1.5,session_range,137,137,70,0,67,0,0,40,6.498481430039813,33.27238188328253,26.773900453242714,36,0.09283544900056875,1.2427170236696967,0.5142857142857142
late,OLHC,1.0,rolling_control,271,271,141,0,130,0,0,61,24.50693215060867,81.53039577735291,57.02346362674424,72,0.17380802943694093,1.4297692667534636,0.5106382978723404
late,OLHC,1.0,session_range,137,137,72,0,65,0,0,43,8.165891533138218,34.242267853314736,26.076376320176518,37,0.11341516018247526,1.3131528488803057,0.5138888888888888
late,OLHC,1.5,rolling_control,271,271,139,0,132,0,0,58,21.138794577235004,79.78558707961771,58.6467925023827,69,0.1520776588290288,1.3604424671029738,0.49640287769784175
late,OLHC,1.5,session_range,137,137,70,0,67,0,0,40,6.498481430039813,33.27238188328253,26.773900453242714,36,0.09283544900056875,1.2427170236696967,0.5142857142857142
