symbol,arm,path,orders,filled,mean_net_r,total_net_r
EURUSD,structure,OHLC,35,19,-0.3573822656956547,-6.790263048217439
EURUSD,structure,OLHC,35,19,-0.3942746929949333,-7.491219166903733
EURUSD,tight_runner,OHLC,35,19,-0.16117594486197184,-3.062342952377465
EURUSD,tight_runner,OLHC,35,19,-0.2704684313216158,-5.1389001951107005
USDJPY,structure,OHLC,24,9,0.3910520001388361,3.519468001249525
USDJPY,structure,OLHC,24,9,0.3910520001388361,3.519468001249525
USDJPY,tight_runner,OHLC,24,9,0.36074219786264244,3.246679780763782
USDJPY,tight_runner,OLHC,24,9,0.22282630115391408,2.0054367103852266
XAUUSD,structure,OHLC,28,10,-0.06688571372329796,-0.6688571372329797
XAUUSD,structure,OLHC,28,10,-0.06688571372329796,-0.6688571372329797
XAUUSD,tight_runner,OHLC,28,10,-0.23263033960513915,-2.3263033960513915
XAUUSD,tight_runner,OLHC,28,10,-0.21436402700508853,-2.143640270050885
